,person,sites,entity_id,label,description,wikipedia_url,user,likert_response
0,http://www.wikidata.org/entity/Q705111,20,Q705111,Joseph Pholien,Belgian politician (1884-1968),https://en.wikipedia.org/wiki/Joseph_Pholien,swimfellow,
1,http://www.wikidata.org/entity/Q370006,25,Q370006,Drew Gooden,American-Finnish basketball player,https://en.wikipedia.org/wiki/Drew_Gooden,swimfellow,
2,http://www.wikidata.org/entity/Q458346,22,Q458346,Lemony Snicket,fictional character in books by the American author Daniel Handler and the pen name of himself,https://en.wikipedia.org/wiki/Lemony_Snicket,swimfellow,
3,http://www.wikidata.org/entity/Q949392,23,Q949392,Tyrus,American cable broadcaster and former professional wrestler,https://en.wikipedia.org/wiki/Tyrus_(wrestler),swimfellow,
4,http://www.wikidata.org/entity/Q611352,20,Q611352,Maurice Goldhaber,American physicist (1911-2011),https://en.wikipedia.org/wiki/Maurice_Goldhaber,swimfellow,
5,http://www.wikidata.org/entity/Q1650639,39,Q1650639,Rosie the Riveter,cultural icon of the United States during World War II,https://en.wikipedia.org/wiki/Rosie_the_Riveter,swimfellow,
6,http://www.wikidata.org/entity/Q373325,21,Q373325,Lee Norris,American actor,https://en.wikipedia.org/wiki/Lee_Norris,swimfellow,
7,http://www.wikidata.org/entity/Q223684,44,Q223684,Lara Croft,Tomb Raider protagonist character,https://en.wikipedia.org/wiki/Lara_Croft,swimfellow,
8,http://www.wikidata.org/entity/Q62695,20,Q62695,Hermann Gunkel,German evangelical theologian (1862–1932),https://en.wikipedia.org/wiki/Hermann_Gunkel,swimfellow,
9,http://www.wikidata.org/entity/Q1623044,24,Q1623044,Elizabeth Swann,fictional character in the Pirates of the Caribbean film series,https://en.wikipedia.org/wiki/Elizabeth_Swann,swimfellow,
10,http://www.wikidata.org/entity/Q51725,40,Q51725,Mace Windu,fictional character from Star Wars,https://en.wikipedia.org/wiki/Mace_Windu,swimfellow,
11,http://www.wikidata.org/entity/Q328753,35,Q328753,Gary Barlow,English singer-songwriter,https://en.wikipedia.org/wiki/Gary_Barlow,swimfellow,
12,http://www.wikidata.org/entity/Q1057356,28,Q1057356,Misty,fictional character from the Pokémon series,https://en.wikipedia.org/wiki/Misty_(Pok%C3%A9mon),swimfellow,
13,http://www.wikidata.org/entity/Q62087,28,Q62087,Otto Meissner,German politician (1880-1953),https://en.wikipedia.org/wiki/Otto_Meissner,swimfellow,
14,http://www.wikidata.org/entity/Q27810,27,Q27810,Mary Jane Watson,fictional character in Marvel Comics,https://en.wikipedia.org/wiki/Mary_Jane_Watson,swimfellow,
15,http://www.wikidata.org/entity/Q62648,29,Q62648,Antje Traue,German actress,https://en.wikipedia.org/wiki/Antje_Traue,swimfellow,
16,http://www.wikidata.org/entity/Q9570,113,Q9570,Amitabh Bachchan,Indian film actor (born 1942),https://en.wikipedia.org/wiki/Amitabh_Bachchan,swimfellow,
17,http://www.wikidata.org/entity/Q159709,92,Q159709,Gilgamesh,Sumerian ruler and protagonist of the Epic of Gilgamesh,https://en.wikipedia.org/wiki/Gilgamesh,swimfellow,
18,http://www.wikidata.org/entity/Q347950,34,Q347950,Gaspar Noé,"Argentine director, screenwriter, cinematographer and film producer",https://en.wikipedia.org/wiki/Gaspar_No%C3%A9,swimfellow,
19,http://www.wikidata.org/entity/Q507001,44,Q507001,Princess Peach,fictional character from the Mario franchise,https://en.wikipedia.org/wiki/Princess_Peach,swimfellow,
20,http://www.wikidata.org/entity/Q477948,42,Q477948,Monkey D. Luffy,fictional character from One Piece,https://en.wikipedia.org/wiki/Monkey_D._Luffy,swimfellow,
21,http://www.wikidata.org/entity/Q340528,22,Q340528,Ahiqar,main figure in an ancient aramaic story,https://en.wikipedia.org/wiki/Story_of_Ahikar,swimfellow,
22,http://www.wikidata.org/entity/Q380949,34,Q380949,"William IV, Prince of Orange",hereditary stadtholder of the Netherlands (1711-1751),"https://en.wikipedia.org/wiki/William_IV,_Prince_of_Orange",swimfellow,
23,http://www.wikidata.org/entity/Q1668864,26,Q1668864,Jean-Pierre Mocky,French film director (1929–2019),https://en.wikipedia.org/wiki/Jean-Pierre_Mocky,swimfellow,
24,http://www.wikidata.org/entity/Q342435,31,Q342435,Josep Samitier,Spanish football player and manager (1902–1972),https://en.wikipedia.org/wiki/Josep_Samitier,swimfellow,
25,http://www.wikidata.org/entity/Q273941,21,Q273941,Linda Wagenmakers,Dutch singer,https://en.wikipedia.org/wiki/Linda_Wagenmakers,swimfellow,
26,http://www.wikidata.org/entity/Q363397,25,Q363397,Tyreke Evans,American basketball player,https://en.wikipedia.org/wiki/Tyreke_Evans,swimfellow,
27,http://www.wikidata.org/entity/Q3194911,28,Q3194911,Kelly Olynyk,Canadian basketball player,https://en.wikipedia.org/wiki/Kelly_Olynyk,swimfellow,
28,http://www.wikidata.org/entity/Q4653,105,Q4653,Sherlock Holmes,fictional character (consulting detective) created by Sir Arthur Conan Doyle,https://en.wikipedia.org/wiki/Sherlock_Holmes,swimfellow,
29,http://www.wikidata.org/entity/Q467367,22,Q467367,Scott Steiner,American professional wrestler,https://en.wikipedia.org/wiki/Scott_Steiner,swimfellow,
30,http://www.wikidata.org/entity/Q28170,20,Q28170,Max Brooks,American author,https://en.wikipedia.org/wiki/Max_Brooks,swimfellow,
31,http://www.wikidata.org/entity/Q163183,20,Q163183,Kai Khosrow,Legendary king of Iran and a character in Iranian/Persian epic,https://en.wikipedia.org/wiki/Kay_Khosrow,swimfellow,
