person,sites
http://www.wikidata.org/entity/Q1177254,334
http://www.wikidata.org/entity/Q302,273
http://www.wikidata.org/entity/Q2831,273
http://www.wikidata.org/entity/Q22686,252
http://www.wikidata.org/entity/Q9960,250
http://www.wikidata.org/entity/Q76,249
http://www.wikidata.org/entity/Q352,242
http://www.wikidata.org/entity/Q762,239
http://www.wikidata.org/entity/Q935,234
http://www.wikidata.org/entity/Q4604,232
http://www.wikidata.org/entity/Q8023,229
http://www.wikidata.org/entity/Q7747,228
http://www.wikidata.org/entity/Q937,228
http://www.wikidata.org/entity/Q692,227
http://www.wikidata.org/entity/Q6279,225
http://www.wikidata.org/entity/Q9458,223
http://www.wikidata.org/entity/Q383541,222
http://www.wikidata.org/entity/Q254,221
http://www.wikidata.org/entity/Q868,221
http://www.wikidata.org/entity/Q859,217
http://www.wikidata.org/entity/Q1339,216
http://www.wikidata.org/entity/Q1048,215
http://www.wikidata.org/entity/Q517,213
http://www.wikidata.org/entity/Q207,211
http://www.wikidata.org/entity/Q4617,210
http://www.wikidata.org/entity/Q8409,210
http://www.wikidata.org/entity/Q5592,210
http://www.wikidata.org/entity/Q5582,210
http://www.wikidata.org/entity/Q9441,209
http://www.wikidata.org/entity/Q1394,208
http://www.wikidata.org/entity/Q23,208
http://www.wikidata.org/entity/Q255,208
http://www.wikidata.org/entity/Q7322,208
http://www.wikidata.org/entity/Q1405,205
http://www.wikidata.org/entity/Q9061,205
http://www.wikidata.org/entity/Q1035,204
http://www.wikidata.org/entity/Q5152,204
http://www.wikidata.org/entity/Q9682,204
http://www.wikidata.org/entity/Q5593,204
http://www.wikidata.org/entity/Q307,203
http://www.wikidata.org/entity/Q91,202
http://www.wikidata.org/entity/Q913,201
http://www.wikidata.org/entity/Q1001,200
http://www.wikidata.org/entity/Q855,200
http://www.wikidata.org/entity/Q5577,198
http://www.wikidata.org/entity/Q882,195
http://www.wikidata.org/entity/Q4616,193
http://www.wikidata.org/entity/Q157,191
http://www.wikidata.org/entity/Q1067,190
http://www.wikidata.org/entity/Q8743,189
http://www.wikidata.org/entity/Q8739,188
http://www.wikidata.org/entity/Q5879,188
http://www.wikidata.org/entity/Q7186,187
http://www.wikidata.org/entity/Q4688112,186
http://www.wikidata.org/entity/Q9554,186
http://www.wikidata.org/entity/Q9215,185
http://www.wikidata.org/entity/Q181,184
http://www.wikidata.org/entity/Q303,184
http://www.wikidata.org/entity/Q7243,183
http://www.wikidata.org/entity/Q1043,182
http://www.wikidata.org/entity/Q615,182
http://www.wikidata.org/entity/Q217096,181
http://www.wikidata.org/entity/Q7192,181
http://www.wikidata.org/entity/Q8007,180
http://www.wikidata.org/entity/Q5673,180
http://www.wikidata.org/entity/Q6101,180
http://www.wikidata.org/entity/Q5682,179
http://www.wikidata.org/entity/Q8016,179
http://www.wikidata.org/entity/Q5816,179
http://www.wikidata.org/entity/Q535,178
http://www.wikidata.org/entity/Q9191,178
http://www.wikidata.org/entity/Q9312,178
http://www.wikidata.org/entity/Q991,178
http://www.wikidata.org/entity/Q720,176
http://www.wikidata.org/entity/Q8027,176
http://www.wikidata.org/entity/Q9696,175
http://www.wikidata.org/entity/Q5598,175
http://www.wikidata.org/entity/Q619,174
http://www.wikidata.org/entity/Q9068,174
http://www.wikidata.org/entity/Q11571,173
http://www.wikidata.org/entity/Q1496,173
http://www.wikidata.org/entity/Q1124,172
http://www.wikidata.org/entity/Q5284,172
http://www.wikidata.org/entity/Q1398,171
http://www.wikidata.org/entity/Q9358,171
http://www.wikidata.org/entity/Q7327,171
http://www.wikidata.org/entity/Q1615,170
http://www.wikidata.org/entity/Q7200,170
http://www.wikidata.org/entity/Q905,170
http://www.wikidata.org/entity/Q5208,170
http://www.wikidata.org/entity/Q8704,170
http://www.wikidata.org/entity/Q4724,169
http://www.wikidata.org/entity/Q3874799,169
http://www.wikidata.org/entity/Q5809,169
http://www.wikidata.org/entity/Q567,169
http://www.wikidata.org/entity/Q19837,168
http://www.wikidata.org/entity/Q2042,168
http://www.wikidata.org/entity/Q19848,168
http://www.wikidata.org/entity/Q7282241,168
http://www.wikidata.org/entity/Q5597,168
http://www.wikidata.org/entity/Q5686,168
http://www.wikidata.org/entity/Q5685,167
http://www.wikidata.org/entity/Q9036,167
http://www.wikidata.org/entity/Q7328,166
http://www.wikidata.org/entity/Q450675,165
http://www.wikidata.org/entity/Q5588,165
http://www.wikidata.org/entity/Q8747,164
http://www.wikidata.org/entity/Q23685,163
http://www.wikidata.org/entity/Q4612,163
http://www.wikidata.org/entity/Q5676,163
http://www.wikidata.org/entity/Q7241,163
http://www.wikidata.org/entity/Q1268,162
http://www.wikidata.org/entity/Q4605,162
http://www.wikidata.org/entity/Q687,162
http://www.wikidata.org/entity/Q9381,162
http://www.wikidata.org/entity/Q3044,161
http://www.wikidata.org/entity/Q8589,161
http://www.wikidata.org/entity/Q78516,161
http://www.wikidata.org/entity/Q7604,161
http://www.wikidata.org/entity/Q5878,161
http://www.wikidata.org/entity/Q7324,160
http://www.wikidata.org/entity/Q6722,160
http://www.wikidata.org/entity/Q8958,160
http://www.wikidata.org/entity/Q529,160
http://www.wikidata.org/entity/Q11812,159
http://www.wikidata.org/entity/Q23810,159
http://www.wikidata.org/entity/Q3052772,159
http://www.wikidata.org/entity/Q4414537,159
http://www.wikidata.org/entity/Q34086,159
http://www.wikidata.org/entity/Q10261,158
http://www.wikidata.org/entity/Q5432,158
http://www.wikidata.org/entity/Q926,158
http://www.wikidata.org/entity/Q7251,158
http://www.wikidata.org/entity/Q5580,158
http://www.wikidata.org/entity/Q23505,157
http://www.wikidata.org/entity/Q7245,157
http://www.wikidata.org/entity/Q5608,157
http://www.wikidata.org/entity/Q9438,157
http://www.wikidata.org/entity/Q6527,157
http://www.wikidata.org/entity/Q8018,157
http://www.wikidata.org/entity/Q8011,157
http://www.wikidata.org/entity/Q10853588,156
http://www.wikidata.org/entity/Q19581,156
http://www.wikidata.org/entity/Q1511,156
http://www.wikidata.org/entity/Q30487,156
http://www.wikidata.org/entity/Q8442,156
http://www.wikidata.org/entity/Q9047,156
http://www.wikidata.org/entity/Q892,156
http://www.wikidata.org/entity/Q43274,155
http://www.wikidata.org/entity/Q7315,155
http://www.wikidata.org/entity/Q5586,155
http://www.wikidata.org/entity/Q6882,155
http://www.wikidata.org/entity/Q9106,154
http://www.wikidata.org/entity/Q11613,153
http://www.wikidata.org/entity/Q11256,153
http://www.wikidata.org/entity/Q8597,153
http://www.wikidata.org/entity/Q7226,153
